TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	SENTENCES	WORDS
Rog-Art-J-Gvecg-P500001	Artur-J-Gvecg-P500001	Artur-J-Gvecg-P500001.wav	Artur-J	Artur-J-G3003	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	37	967
Rog-Art-J-Gvecg-P500002	Artur-J-Gvecg-P500002	Artur-J-Gvecg-P500002.wav	Artur-J	Artur-J-G3002	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	40	819
Rog-Art-J-Gvecg-P500014	Artur-J-Gvecg-P500014	Artur-J-Gvecg-P500014.wav	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	3	44
Rog-Art-J-Gvecg-P500014	Artur-J-Gvecg-P500014	Artur-J-Gvecg-P500014.wav	Artur-J	Artur-J-G3020	ženski	30 do 59 let	slovenščina	pogovorni jezik	-	-	osrednjeslovenska	24	893
Rog-Art-J-Gvecg-P500016	Artur-J-Gvecg-P500016	Artur-J-Gvecg-P500016.wav	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	19	428
Rog-Art-J-Gvecg-P500016	Artur-J-Gvecg-P500016	Artur-J-Gvecg-P500016.wav	Artur-J	Artur-J-G3025	ženski	30 do 59 let	slovenščina	standardni jezik	-	pomurska	-	19	604
Rog-Art-J-Gvecg-P500021	Artur-J-Gvecg-P500021	Artur-J-Gvecg-P500021.wav	Artur-J	Artur-J-G3047	ženski	-		standardni jezik	fakulteta ali več	-	-	27	1041
Rog-Art-J-Gvecg-P500026	Artur-J-Gvecg-P500026	Artur-J-Gvecg-P500026.wav	Artur-J	Artur-J-G3057	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	posavska	5	86
Rog-Art-J-Gvecg-P500026	Artur-J-Gvecg-P500026	Artur-J-Gvecg-P500026.wav	Artur-J	Artur-J-G3055	ženski	-		standardni jezik	-	-	-	4	108
Rog-Art-J-Gvecg-P500026	Artur-J-Gvecg-P500026	Artur-J-Gvecg-P500026.wav	Artur-J	Artur-J-G3056	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	savinjska	33	867
Rog-Art-J-Gvecg-P500028	Artur-J-Gvecg-P500028	Artur-J-Gvecg-P500028.wav	Artur-J	Artur-J-G3063	moški	30 do 59 let	slovenščina	standardni jezik	-	-	goriška	17	529
Rog-Art-J-Gvecg-P500028	Artur-J-Gvecg-P500028	Artur-J-Gvecg-P500028.wav	Artur-J	Artur-J-G3062	moški	-		standardni jezik	-	-	-	9	547
Rog-Art-J-Gvecg-P500034	Artur-J-Gvecg-P500034	Artur-J-Gvecg-P500034.wav	Artur-J	Artur-J-G3069	ženski	-		standardni jezik	-	-	-	30	984
Rog-Art-J-Gvecg-P500037	Artur-J-Gvecg-P500037	Artur-J-Gvecg-P500037.wav	Artur-J	Artur-J-G3070	ženski	30 do 59 let		standardni jezik	-	-	-	33	981
Rog-Art-J-Gvecg-P500042	Artur-J-Gvecg-P500042	Artur-J-Gvecg-P500042.wav	Artur-J	Artur-J-G3082	ženski	30 do 59 let	srbščina	tujejezični vplivi	fakulteta ali več	-	-	24	1080
Rog-Art-J-Gvecg-P500046	Artur-J-Gvecg-P500046	Artur-J-Gvecg-P500046.wav	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	5	193
Rog-Art-J-Gvecg-P500046	Artur-J-Gvecg-P500046	Artur-J-Gvecg-P500046.wav	Artur-J	Artur-J-G3090	moški	-		standardni jezik	-	-	-	8	365
Rog-Art-J-Gvecg-P500046	Artur-J-Gvecg-P500046	Artur-J-Gvecg-P500046.wav	Artur-J	Artur-J-G3091	moški	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	osrednjeslovenska	-	9	486
Rog-Art-J-Gvecg-P500048	Artur-J-Gvecg-P500048	Artur-J-Gvecg-P500048.wav	Artur-J	Artur-J-G3098	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	podravska	-	6	162
