TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Rog-Art-J-Gvecg-P500001	Artur-J-Gvecg-P500001	Artur-J-Gvecg-P500001.wav	Artur-J	Govor o govorjeni slovenščini na splošno in na radiu ter o izobraževanju na televiziji	2020-09	STA	https://www.facebook.com/watch/live/?v=339333000613185&ref=watch_permalink	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	37	967	Artur-J-G3003
Rog-Art-J-Gvecg-P500002	Artur-J-Gvecg-P500002	Artur-J-Gvecg-P500002.wav	Artur-J	Predstavitev vprašanj pri pripravi posodobljenega pravopisa	2020-09	STA	https://www.facebook.com/watch/live/?v=339333000613185&ref=watch_permalink	Ljubljana	nagovor na dogodku	informativno-izobraževalni	osebni stik	40	819	Artur-J-G3002
Rog-Art-J-Gvecg-P500014	Artur-J-Gvecg-P500014	Artur-J-Gvecg-P500014.wav	Artur-J	Predstavitev prilagoditve programov za oporo bolnikom	2020-06	STA	https://livestream.com/accounts/564247/events/7618799/videos/207774394/player	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	27	937	Artur-J-G3018 Artur-J-G3020
Rog-Art-J-Gvecg-P500016	Artur-J-Gvecg-P500016	Artur-J-Gvecg-P500016.wav	Artur-J	Pogovor o pomenu in dostopnosti verodostojnih informacij o zdravljenju kroničnih nenalezljivih bolezni  	2020-06	STA	https://www.youtube.com/watch?v=fTymM6UTB0M&feature=youtu.be	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	38	1032	Artur-J-G3018 Artur-J-G3025
Rog-Art-J-Gvecg-P500021	Artur-J-Gvecg-P500021	Artur-J-Gvecg-P500021.wav	Artur-J	Govor o rabi antibiotikov in o njihovih posledicah ter o strategijah za uspešnejšo rabo	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/213431819	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	27	1041	Artur-J-G3047
Rog-Art-J-Gvecg-P500026	Artur-J-Gvecg-P500026	Artur-J-Gvecg-P500026.wav	Artur-J	Razprava o drugem valu korone, vplivu znanosti in stroke, ter komunikacijskih napakah	2020-12	STA	https://livestream.com/accounts/564247/events/7618799/videos/215066628	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	42	1061	Artur-J-G3055 Artur-J-G3056 Artur-J-G3057
Rog-Art-J-Gvecg-P500028	Artur-J-Gvecg-P500028	Artur-J-Gvecg-P500028.wav	Artur-J	Pogovor o robotih in umetni inteligenci	2020-12	STA	https://livestream.com/accounts/564247/events/7618799/videos/215024193	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	26	1076	Artur-J-G3062 Artur-J-G3063
Rog-Art-J-Gvecg-P500034	Artur-J-Gvecg-P500034	Artur-J-Gvecg-P500034.wav	Artur-J	Posnetek o najmanjši splošni bolnišnici v Sloveniji, situacija o zdravljenju v času korone	2020-11	STA	https://www.youtube.com/watch?time_continue=3109&v=Fa4oOO6LuuE&feature=emb_title	Trbovlje	novinarska konferenca	informativno-izobraževalni	osebni stik	30	984	Artur-J-G3069
Rog-Art-J-Gvecg-P500037	Artur-J-Gvecg-P500037	Artur-J-Gvecg-P500037.wav	Artur-J	Nagovor staršem, ki imajo otroke v šoli, spremembe pri pouku v času korone	2021-01	STA	https://livestream.com/accounts/564247/events/7618799/videos/216648797	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	33	981	Artur-J-G3070
Rog-Art-J-Gvecg-P500042	Artur-J-Gvecg-P500042	Artur-J-Gvecg-P500042.wav	Artur-J	Študij na Harvardu, predavanje na Ekonomski fakulteti	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/218485333	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	24	1080	Artur-J-G3082
Rog-Art-J-Gvecg-P500046	Artur-J-Gvecg-P500046	Artur-J-Gvecg-P500046.wav	Artur-J	Plačilo s karticami, varnost digitalizacije plačil in kriptovalutna plačila	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/219161223	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	22	1044	Artur-J-G3018 Artur-J-G3090 Artur-J-G3091
Rog-Art-J-Gvecg-P500048	Artur-J-Gvecg-P500048	Artur-J-Gvecg-P500048.wav	Artur-J	Imunizacija, Zakon o nalezljivih boleznih, cepljenje v Evropski uniji in cepljenje otrok	2021-04	STA	https://livestream.com/zivo/stavzivo/videos/220246779	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	32	1109	Artur-J-G3023 Artur-J-G3097 Artur-J-G3098
Rog-Art-J-Gvecg-P500051	Artur-J-Gvecg-P500051	Artur-J-Gvecg-P500051.wav	Artur-J	Konferenca o predstavitvi podatkov športno-vzgojnega kartona, primerjava rezultatov pred epidemijo in po njej	2021-06	STA	https://livestream.com/accounts/564247/events/7618799/videos/222633872/player	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	38	1006	Artur-J-G3016
Rog-Art-J-Gvecg-P500054	Artur-J-Gvecg-P500054	Artur-J-Gvecg-P500054.wav	Artur-J	Pravice otrok v Sloveniji 	2019-10	STA	https://youtu.be/C_AlXre1vTI	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	44	1040	Artur-J-G3109 Artur-J-G3110
Rog-Art-J-Gvecg-P500063	Artur-J-Gvecg-P500063	Artur-J-Gvecg-P500063.wav	Artur-J	Kolektivno uveljavljanje avtorskih pravic	2021-09	STA	https://youtu.be/lkpWkX9JMOU	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	16	1135	Artur-J-G3133 Artur-J-G3134
Rog-Art-J-Gvecg-P500064	Artur-J-Gvecg-P500064	Artur-J-Gvecg-P500064.wav	Artur-J	Družine z otroki z redkoozdravljivimi boleznimi, pravica do dodatka za nego, zdravniške komisije 	2021-09	STA	https://youtu.be/TCEX9YOUJvw	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	35	1189	Artur-J-G3137 Artur-J-G3139
Rog-Art-J-Gvecg-P580002	Artur-J-Gvecg-P580002	Artur-J-Gvecg-P580002.wav	Artur-J	Radijski pogovor z Alenko Rumbak, direktorico Zavoda za zaposlovanje, delo v času korone	2020-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	37	1011	Artur-J-G4528 Artur-J-G4529
Rog-Art-J-Gvecg-P580003	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.wav	Artur-J	Pogovor z Alešem Klinarjem, članom skupine Agropop, komični muzikal po 18 letih, začetki skupine 	2017-05	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	33	1036	Artur-J-G4530 Artur-J-G4531
Rog-Art-J-Gvecg-P580009	Artur-J-Gvecg-P580009	Artur-J-Gvecg-P580009.wav	Artur-J	Radijska oddaja Nedeljska srečanja, pogovor z novinarjem Branetom Pianom o izdaji knjige, tedenskih kolumnah in Celju	2020-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	42	1054	Artur-J-G4538 Artur-J-G4539
Rog-Art-J-Gvecg-P580023	Artur-J-Gvecg-P580023	Artur-J-Gvecg-P580023.wav	Artur-J	Pogovor s Špelo Drašler o njeni glasbeni družini, šolanjem na Pedagoški fakulteti in sodelovanju pri Akademskem pevskem zboru ter delu korepetitorja	2020-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	60	1137	Artur-J-G4544 Artur-J-G4554
Rog-Art-J-Gvecg-P580041	Artur-J-Gvecg-P580041	Artur-J-Gvecg-P580041.wav	Artur-J	Pogovor z Martinom Golobom o veliki noči, spominih na ta praznik, otroštvu, družini, poklicu in avtu	2021-04	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	65	995	Artur-J-G4521 Artur-J-G4531
Rog-Art-J-Gvecg-P580047	Artur-J-Gvecg-P580047	Artur-J-Gvecg-P580047.wav	Artur-J	Pogovor s Tanjo Fajon o delu na radiu, družini, začetkih novinarstva, študiju in delu dopisnice v Bruslju	-	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	41	993	Artur-J-G4529 Artur-J-G4586
Rog-Art-J-Gvecg-P580051	Artur-J-Gvecg-P580051	Artur-J-Gvecg-P580051.wav	Artur-J	Govor na konferenci o idejnih horizontih postrazsvetljenske Evrope in pomenu temeljnih zgodovinskih pojmov (svoboda, demokracija, republika) 	2021-05	ZRC SAZU	https://www.youtube.com/watch?v=bD9C8Y-pG2M	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	36	1002	Artur-J-G4602 Artur-J-G4604 Artur-J-G4605
Rog-Art-N-G5013-P600007	Artur-N-G5013-P600007	Artur-N-G5013-P600007.wav	Artur-N	Pogovor med prijateljema o igranju igric, igranju harmonike in klavirja ter tekmovanjih v igranju harmonike	2020-09	lastni posnetek	-	Hajdina	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	39	652	Artur-N-G5013
Rog-Art-N-G5014-P600007	Artur-N-G5014-P600007	Artur-N-G5014-P600007.wav	Artur-N	Pogovor med prijateljema o igranju igric, igranju harmonike in tekmovanjih v igranju harmonike	2020-09	lastni posnetek	-	Hajdina	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	41	540	Artur-N-G5014
Rog-Art-N-G5019-P600012	Artur-N-G5019-P600012	Artur-N-G5019-P600012.wav	Artur-N	Pogovor med dvema prijateljema o hčeri, delu v gledališču med korono, načrti za božične praznike, službi in vrtnarjenju	2020-12	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	26	246	Artur-N-G5019
Rog-Art-N-G5020-P600012	Artur-N-G5020-P600012	Artur-N-G5020-P600012.wav	Artur-N	Pogovor med dvema prijateljema o hčeri, delu v gledališču med korono, načrti za božične praznike, službi in vrtnarjenju	2020-12	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	58	727	Artur-N-G5020
