TEXT-ID	Split
Rog-Art-J-Gvecg-P500001	Dev
Rog-Art-J-Gvecg-P500002	Train
Rog-Art-J-Gvecg-P500014	Test
Rog-Art-J-Gvecg-P500016	Train
Rog-Art-J-Gvecg-P500021	Train
Rog-Art-J-Gvecg-P500026	Train
Rog-Art-J-Gvecg-P500028	Test
Rog-Art-J-Gvecg-P500034	Train
Rog-Art-J-Gvecg-P500037	Dev
Rog-Art-J-Gvecg-P500042	Train
Rog-Art-J-Gvecg-P500046	Train
Rog-Art-J-Gvecg-P500048	Train
Rog-Art-J-Gvecg-P500051	Train
Rog-Art-J-Gvecg-P500054	Test
Rog-Art-J-Gvecg-P500063	Test
Rog-Art-J-Gvecg-P500064	Train
Rog-Art-J-Gvecg-P580002	Train
Rog-Art-J-Gvecg-P580003	Train
Rog-Art-J-Gvecg-P580009	Train
Rog-Art-J-Gvecg-P580023	Train
Rog-Art-J-Gvecg-P580041	Train
Rog-Art-J-Gvecg-P580047	Train
Rog-Art-J-Gvecg-P580051	Train
Rog-Art-N-G5013-P600007	Train
Rog-Art-N-G5014-P600007	Train
Rog-Art-N-G5019-P600012	Train
Rog-Art-N-G5020-P600012	Train
Rog-Art-N-G5025-P600021	Train
Rog-Art-N-G5025-P600022	Train
Rog-Art-N-G5026-P600021	Train
Rog-Art-N-G5035-P600034	Train
Rog-Art-N-G5036-P600034	Train
Rog-Art-N-G5043-P600044	Train
Rog-Art-N-G5044-P600044	Train
Rog-Art-N-G5053-P600052	Train
Rog-Art-N-G5054-P600052	Train
Rog-Art-N-G5082-P600080	Train
Rog-Art-N-G5083-P600080	Dev
Rog-Art-N-G5097-P600096	Test
Rog-Art-N-G6001-P600102	Train
Rog-Art-N-G6007-P600702	Test
Rog-Art-N-G6012-P601201	Train
Rog-Art-N-G6031-P603102	Train
Rog-Art-N-G6043-P604301	Train
Rog-Art-N-G6047-P604702	Train
Rog-Art-N-G6060-P606001	Test
Rog-Art-N-G6083-P608301	Dev
Rog-Art-N-G6100-P610002	Test
Rog-Art-N-G6103-P610302	Train
Rog-Art-N-G6112-P611202	Train
Rog-Art-N-G6116-P611601	Train
Rog-Art-P-G7001-P700192	Dev
Rog-Art-P-G7002-P700444	Test
Rog-Art-P-G7036-P701111	Train
Rog-Art-P-G7065-P701064	Train
Rog-Art-P-G7155-P700259	Test
Rog-Art-P-G7165-P700926	Train
