TEXT-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	UTTS	WORDS
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3006	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	27	1257
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3008	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	3	1145
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3011	ženski	30 do 59 let	slovenščina	standardni jezik	-	-	-	9	1335
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3001	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	4	1082
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3003	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	4	1339
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3012	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	5	871
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3009	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	5	1153
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3005	moški	-	slovenščina	standardni jezik	fakulteta ali več	-	-	5	711
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3007	moški	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	-	1	1459
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3010	moški	-	slovenščina	standardni jezik	-	-	-	5	1224
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-G3004	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	8	1276
Rog-Art-J-Gvecg-P500002	Artur-J	Artur-J-G3002	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	-	1	732
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	20	802
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3013	ženski	-	slovenščina	standardni jezik	fakulteta ali več	-	-	1	250
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3016	moški	30 do 59 let	slovenščina	pogovorni jezik	fakulteta ali več	-	posavska	19	2477
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3017	moški	-	slovenščina	standardni jezik	fakulteta ali več	-	-	34	1816
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3014	ženski	nad 60 let	slovenščina	standardni jezik	fakulteta ali več	-	-	4	1181
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3015	moški	-	slovenščina	pogovorni jezik	fakulteta ali več	-	-	7	1438
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3042	ženski	-		-	-	-	-	1	128
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3043	ženski	-		-	-	-	-	1	61
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3044	moški	-		-	-	-	-	1	46
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3045	ženski	-		-	-	-	-	1	56
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-G3046	ženski	-		-	-	-	-	1	75
Rog-Art-J-Gvecg-P500014	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	25	2061
Rog-Art-J-Gvecg-P500014	Artur-J	Artur-J-G3019	ženski	nad 60 let	slovenščina	standardni jezik	-	-	posavska	11	1171
Rog-Art-J-Gvecg-P500014	Artur-J	Artur-J-G3020	ženski	30 do 59 let	slovenščina	pogovorni jezik	-	-	osrednjeslovenska	8	2037
Rog-Art-J-Gvecg-P500014	Artur-J	Artur-J-G3021	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	obalno-kraška	5	1720
Rog-Art-J-Gvecg-P500015	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	28	2115
Rog-Art-J-Gvecg-P500015	Artur-J	Artur-J-G3022	ženski	-	slovenščina	standardni jezik	-	-	-	9	635
Rog-Art-J-Gvecg-P500015	Artur-J	Artur-J-G3024	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	jugovzhodna Slovenija	11	2364
Rog-Art-J-Gvecg-P500015	Artur-J	Artur-J-G3023	moški	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	osrednjeslovenska	6	843
Rog-Art-J-Gvecg-P500016	Artur-J	Artur-J-G3018	ženski	-	slovenščina	standardni jezik	-	-	-	15	1400
Rog-Art-J-Gvecg-P500016	Artur-J	Artur-J-G3025	ženski	30 do 59 let	slovenščina	standardni jezik	-	pomurska	-	7	1051
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-G3041	moški	nad 60 let	slovenščina	pogovorni jezik	fakulteta ali več	-	osrednjeslovenska	7	1068
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-G3035	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	3	1363
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-G3039	moški	-	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	6	1916
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-G3038	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	jugovzhodna Slovenija	11	2976
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-G3040	moški	-	slovenščina	standardni jezik	višja ali visoka šola	-	podravska	4	626
Rog-Art-J-Gvecg-P500021	Artur-J	Artur-J-G3047	ženski	-		standardni jezik	fakulteta ali več	-	-	5	1933
Rog-Art-J-Gvecg-P500024	Artur-J	Artur-J-G3052	moški	-		standardni jezik	-	-	-	6	866
Rog-Art-J-Gvecg-P500024	Artur-J	Artur-J-G3051	moški	30 do 59 let		standardni jezik	-	-	-	1	775
Rog-Art-J-Gvecg-P500024	Artur-J	Artur-J-G3050	ženski	30 do 59 let	slovenščina	pogovorni jezik	-	-	zasavska	2	840
Rog-Art-J-Gvecg-P500025	Artur-J	Artur-J-G3053	ženski	-		standardni jezik	-	-	-	1	810
Rog-Art-J-Gvecg-P500025	Artur-J	Artur-J-G3054	moški	-		standardni jezik	-	-	-	13	1529
Rog-Art-J-Gvecg-P500026	Artur-J	Artur-J-G3057	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	posavska	21	1255
Rog-Art-J-Gvecg-P500026	Artur-J	Artur-J-G3055	ženski	-		standardni jezik	-	-	-	7	1480
Rog-Art-J-Gvecg-P500026	Artur-J	Artur-J-G3056	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	savinjska	13	2606
Rog-Art-J-Gvecg-P500027	Artur-J	Artur-J-G3057	ženski	30 do 59 let	slovenščina	standardni jezik	višja ali visoka šola	-	posavska	30	1353
Rog-Art-J-Gvecg-P500027	Artur-J	Artur-J-G3060	moški	-		standardni jezik	-	-	-	15	3301
Rog-Art-J-Gvecg-P500027	Artur-J	Artur-J-G3058	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	osrednjeslovenska	-	7	2227
Rog-Art-J-Gvecg-P500027	Artur-J	Artur-J-G3059	moški	-		standardni jezik	-	-	-	14	2108
Rog-Art-J-Gvecg-P500028	Artur-J	Artur-J-G3061	moški	nad 60 let	slovenščina	standardni jezik	fakulteta ali več	-	savinjska	4	1694
Rog-Art-J-Gvecg-P500028	Artur-J	Artur-J-G3063	moški	30 do 59 let	slovenščina	standardni jezik	-	-	goriška	8	2266
