TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SPK-IDsUTTS	SEGS	WORDS
Rog-Art-J-Gvecg-P500001	Artur-J	Artur-J-Gvecg-P500001	2020-09	STA	https://www.facebook.com/watch/live/?v=339333000613185&ref=watch_permalink	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3006, Artur-J-G3008, Artur-J-G3011, Artur-J-G3001, Artur-J-G3003, Artur-J-G3012, Artur-J-G3009, Artur-J-G3005, Artur-J-G3007, Artur-J-G3010, Artur-J-G3004	142	2349
Rog-Art-J-Gvecg-P500002	Artur-J	Artur-J-Gvecg-P500002	2020-09	STA	https://www.facebook.com/watch/live/?v=339333000613185&ref=watch_permalink	Ljubljana	nagovor na dogodku	informativno-izobraževalni	osebni stik	Artur-J-G3002	2	104
Rog-Art-J-Gvecg-P500013	Artur-J	Artur-J-Gvecg-P500013	2020-09	STA	https://livestream.com/zivo/stavzivo/videos/211249197	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3018, Artur-J-G3013, Artur-J-G3016, Artur-J-G3017, Artur-J-G3014, Artur-J-G3015, Artur-J-G3042, Artur-J-G3043, Artur-J-G3044, Artur-J-G3045, Artur-J-G3046	148	1459
Rog-Art-J-Gvecg-P500014	Artur-J	Artur-J-Gvecg-P500014	2020-06	STA	https://livestream.com/accounts/564247/events/7618799/videos/207774394/player	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3018, Artur-J-G3019, Artur-J-G3020, Artur-J-G3021	78	967
Rog-Art-J-Gvecg-P500015	Artur-J	Artur-J-Gvecg-P500015	2020-09	STA	https://livestream.com/accounts/564247/events/7618799/videos/210606312/player	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3018, Artur-J-G3022, Artur-J-G3024, Artur-J-G3023	77	766
Rog-Art-J-Gvecg-P500016	Artur-J	Artur-J-Gvecg-P500016	2020-06	STA	https://www.youtube.com/watch?v=fTymM6UTB0M&feature=youtu.be	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3018, Artur-J-G3025	34	347
Rog-Art-J-Gvecg-P500020	Artur-J	Artur-J-Gvecg-P500020	2020-10	STA	https://livestream.com/accounts/564247/events/7618799/videos/212364116	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3041, Artur-J-G3035, Artur-J-G3039, Artur-J-G3038, Artur-J-G3040	48	1084
Rog-Art-J-Gvecg-P500021	Artur-J	Artur-J-Gvecg-P500021	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/213431819	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3047	9	188
Rog-Art-J-Gvecg-P500024	Artur-J	Artur-J-Gvecg-P500024	2020-11	STA	-	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3052, Artur-J-G3051, Artur-J-G3050	18	391
Rog-Art-J-Gvecg-P500025	Artur-J	Artur-J-Gvecg-P500025	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/213140872	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3053, Artur-J-G3054	28	393
Rog-Art-J-Gvecg-P500026	Artur-J	Artur-J-Gvecg-P500026	2020-12	STA	https://livestream.com/accounts/564247/events/7618799/videos/215066628	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3057, Artur-J-G3055, Artur-J-G3056	56	1126
Rog-Art-J-Gvecg-P500027	Artur-J	Artur-J-Gvecg-P500027	2020-12	STA	https://livestream.com/accounts/564247/events/7618799/videos/214728579	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3057, Artur-J-G3060, Artur-J-G3058, Artur-J-G3059	81	802
Rog-Art-J-Gvecg-P500028	Artur-J	Artur-J-Gvecg-P500028	2020-12	STA	https://livestream.com/accounts/564247/events/7618799/videos/215024193	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3061, Artur-J-G3063, Artur-J-G3062	30	922
Rog-Art-J-Gvecg-P500029	Artur-J	Artur-J-Gvecg-P500029	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/213491803	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3064	2	787
Rog-Art-J-Gvecg-P500030	Artur-J	Artur-J-Gvecg-P500030	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/213387701/player	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3065	5	413
Rog-Art-J-Gvecg-P500032	Artur-J	Artur-J-Gvecg-P500032	2020-11	STA	https://www.youtube.com/watch?v=SmXlgO91slY&feature=emb_title	Novo mesto	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3067	1	276
Rog-Art-J-Gvecg-P500034	Artur-J	Artur-J-Gvecg-P500034	2020-11	STA	https://www.youtube.com/watch?time_continue=3109&v=Fa4oOO6LuuE&feature=emb_title	Trbovlje	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3069	5	185
Rog-Art-J-Gvecg-P500035	Artur-J	Artur-J-Gvecg-P500035	2020-11	STA	https://livestream.com/accounts/564247/events/7618799/videos/214145441	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3070	18	230
Rog-Art-J-Gvecg-P500036	Artur-J	Artur-J-Gvecg-P500036	2021-02	STA	https://livestream.com/accounts/564247/events/7618799/videos/217404659	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3027, Artur-J-G3072, Artur-J-G3071, Artur-J-G3073	55	893
Rog-Art-J-Gvecg-P500037	Artur-J	Artur-J-Gvecg-P500037	2021-01	STA	https://livestream.com/accounts/564247/events/7618799/videos/216648797	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3070	1	311
Rog-Art-J-Gvecg-P500039	Artur-J	Artur-J-Gvecg-P500039	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/218313547	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3078	6	445
Rog-Art-J-Gvecg-P500040	Artur-J	Artur-J-Gvecg-P500040	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/218365005	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3079	7	359
Rog-Art-J-Gvecg-P500041	Artur-J	Artur-J-Gvecg-P500041	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/218263763	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3080, Artur-J-G3081	10	579
Rog-Art-J-Gvecg-P500042	Artur-J	Artur-J-Gvecg-P500042	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/218485333	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3083, Artur-J-G3082	5	264
Rog-Art-J-Gvecg-P500043	Artur-J	Artur-J-Gvecg-P500043	2021-02	STA	https://livestream.com/accounts/564247/events/7618799/videos/217356757	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3084	14	301
Rog-Art-J-Gvecg-P500045	Artur-J	Artur-J-Gvecg-P500045	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/219116486	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3088, Artur-J-G3087, Artur-J-G3089	33	590
Rog-Art-J-Gvecg-P500046	Artur-J	Artur-J-Gvecg-P500046	2021-03	STA	https://livestream.com/accounts/564247/events/7618799/videos/219161223	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3018, Artur-J-G3090, Artur-J-G3091	49	372
Rog-Art-J-Gvecg-P500047	Artur-J	Artur-J-Gvecg-P500047	2021-05	STA	https://livestream.com/zivo/stavzivo/videos/221548352	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3092, Artur-J-G3093, Artur-J-G3094, Artur-J-G3095	77	571
Rog-Art-J-Gvecg-P500048	Artur-J	Artur-J-Gvecg-P500048	2021-04	STA	https://livestream.com/zivo/stavzivo/videos/220246779	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G3098, Artur-J-G3097, Artur-J-G3023	22	432
