Sent_id	Split
Gos002.s110	train
Gos002.s112	train
Gos002.s113	train
Gos002.s114	train
Gos002.s115	train
Gos002.s116	train
Gos003.s201	train
Gos003.s202	train
Gos003.s203	train
Gos003.s204	train
Gos003.s205	train
Gos003.s207	train
Gos003.s208	train
Gos003.s210	train
Gos003.s211	train
Gos005.s1	train
Gos005.s2	train
Gos005.s3	train
Gos005.s4	train
Gos005.s5	train
Gos005.s6	train
Gos005.s8	train
Gos006.s123	train
Gos006.s124	train
Gos006.s125	train
Gos006.s126	train
Gos007.s173	train
Gos007.s174	train
Gos007.s175	train
Gos007.s176	train
Gos007.s177	train
Gos007.s178	train
Gos008.s63	train
Gos008.s64	train
Gos008.s65	train
Gos012.s229	train
Gos012.s230	train
Gos012.s231	train
Gos012.s232	train
Gos012.s233	train
Gos012.s234	train
Gos013.s146	train
Gos013.s147	train
Gos013.s148	train
Gos013.s149	train
Gos013.s151	train
Gos013.s152	train
Gos013.s153	train
Gos013.s155	train
Gos013.s156	train
Gos013.s158	train
Gos013.s159	train
Gos013.s160	train
Gos013.s161	train
Gos013.s162	train
Gos013.s163	train
Gos013.s165	train
Gos013.s167	train
Gos013.s168	train
Gos013.s169	train
Gos013.s170	train
Gos013.s171	train
Gos013.s172	train
Gos013.s173	train
Gos013.s174	train
Gos014.s618	train
Gos014.s619	train
Gos014.s620	train
Gos014.s621	train
Gos014.s622	train
Gos014.s623	train
Gos014.s624	train
Gos014.s625	train
Gos014.s626	train
Gos014.s628	train
Gos014.s629	train
Gos014.s630	train
Gos014.s632	train
Gos014.s633	train
Gos014.s634	train
Gos014.s635	train
Gos014.s636	train
Gos014.s637	train
Gos014.s638	train
Gos014.s639	train
Gos014.s640	train
Gos014.s641	train
Gos014.s642	train
Gos014.s644	train
Gos014.s645	train
Gos014.s646	train
Gos014.s647	train
Gos015.s63	train
Gos015.s64	train
Gos015.s65	train
Gos015.s66	train
Gos015.s67	train
Gos015.s68	train
Gos015.s69	train
Gos015.s71	train
Gos015.s72	train
Gos015.s73	train
Gos015.s74	train
Gos015.s75	train
Gos015.s76	train
Gos015.s77	train
Gos015.s78	train
Gos017.s275	train
Gos017.s276	train
Gos017.s277	train
Gos017.s278	train
Gos017.s279	train
Gos017.s280	train
Gos017.s281	train
Gos017.s282	train
Gos017.s283	train
Gos017.s284	train
Gos017.s285	train
Gos017.s286	train
Gos017.s287	train
Gos020.s392	train
Gos020.s394	train
Gos020.s395	train
Gos020.s396	train
Gos020.s398	train
Gos020.s399	train
Gos020.s400	train
Gos020.s401	train
Gos020.s402	train
Gos020.s403	train
Gos020.s404	train
Gos020.s405	train
Gos020.s406	train
Gos020.s407	train
Gos020.s408	train
Gos020.s409	train
Gos020.s410	train
Gos020.s411	train
Gos022.s119	train
Gos022.s120	train
Gos022.s121	train
Gos022.s123	train
Gos022.s125	train
Gos022.s127	train
Gos022.s128	train
Gos022.s129	train
Gos022.s131	train
Gos022.s133	train
Gos022.s134	train
Gos023.s70	train
Gos023.s71	train
Gos023.s72	train
Gos024.s25	train
Gos024.s26	train
Gos024.s27	train
Gos024.s28	train
Gos025.s97	train
Gos025.s98	train
Gos025.s99	train
Gos025.s100	train
Gos025.s101	train
Gos028.s37	train
Gos028.s38	train
Gos028.s39	train
Gos028.s40	train
Gos028.s41	train
Gos029.s112	train
Gos029.s113	train
Gos029.s114	train
Gos029.s115	train
Gos029.s116	train
Gos029.s117	train
Gos029.s118	train
Gos029.s119	train
Gos030.s23	train
Gos030.s24	train
