TEXT-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	SENTENCES	WORDS
Gos001	Gos	Af-pred-02166	ženski	30 do 59 let	slovenščina	-	fakulteta ali več	osrednjeslovenska	-	6	117
Gos002	Gos	Zm-prof-01084	moški	30 do 59 let	slovenščina	-	fakulteta ali več	osrednjeslovenska, jugovzhodna Slovenija	-	6	128
Gos003	Gos	Um-pred-01619	moški	18 do 34 let	slovenščina	-	fakulteta ali več	osrednjeslovenska, gorenjska, tujina	-	9	213
Gos004	Gos	Pf-pred-07541	ženski	18 do 34 let	slovenščina	-	fakulteta ali več	podravska	-	10	207
Gos004	Gos	Jf-publ-07549	ženski	30 do 59 let	slovenščina	-	višja ali visoka šola	podravska	-	1	7
Gos005	Gos	Am-mode-05666	moški	nad 60 let	slovenščina	-	višja ali visoka šola	podravska	-	6	130
Gos005	Gos	Bf-pred-05667	ženski	30 do 59 let	slovenščina	-	fakulteta ali več	podravska, osrednjeslovenska	-	1	3
Gos006	Gos	Am-pred-05665	moški	30 do 59 let	slovenščina	-	fakulteta ali več	podravska	-	4	165
Gos007	Gos	Tm-pred-06583	moški	30 do 59 let	slovenščina	-	fakulteta ali več	osrednjeslovenska	-	6	238
Gos008	Gos	Pm-pred-09040	moški	30 do 59 let	slovenščina	-	fakulteta ali več	podravska	-	3	92
Gos009	Gos	Af-prof-06578	ženski	18 do 34 let	slovenščina	-	srednja šola	gorenjska, osrednjeslovenska	-	5	29
Gos009	Gos	Ef-stud-06579	ženski	18 do 34 let		-	srednja šola	tujina, osrednjeslovenska	-	1	3
Gos009	Gos	Tf-stud-06580	ženski	18 do 34 let		-	višja ali visoka šola	tujina, osrednjeslovenska	-	6	67
Gos010	Gos	Pf-prof-09042	ženski	18 do 34 let	slovenščina	-	fakulteta ali več	gorenjska	-	6	37
Gos010	Gos	Jf-ucen-09052	ženski	10 do 18 let	slovenščina	-	OŠ ali manj	gorenjska	-	1	7
Gos010	Gos	Em-ucen-09046	moški	10 do 18 let	slovenščina	-	OŠ ali manj	gorenjska	-	3	26
Gos010	Gos	Af-ucen-09041	ženski	10 do 18 let	slovenščina	-	OŠ ali manj	gorenjska	-	3	59
Gos011	Gos	Mf-prof-09033	ženski	30 do 59 let	slovenščina	-	fakulteta ali več	osrednjeslovenska, posavska	-	11	117
Gos011	Gos	Bm-ucen-09035	moški	10 do 18 let	slovenščina	-	OŠ ali manj	osrednjeslovenska	-	1	10
