TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Gos001	Gos	Splošno predavanje za prvi letnik prevajalstva.	2009-11	lastni posnetek	-	Ljubljana	akademski, družboslovje	informativno-izobraževalni	osebni stik	6	117	Af-pred-02166
Gos002	Gos	Ura filozofije, pri kateri predavatelj študentom razlaga nemško klasično filozofijo.	2010-03	lastni posnetek	-	Ljubljana	akademski, humanistika	informativno-izobraževalni	osebni stik	6	128	Zm-prof-01084
Gos003	Gos	Strokovni seminar, namenjen predvsem kemikom in matematikom.	2010-01	lastni posnetek	-	Ljubljana	akademski, naravoslovje	informativno-izobraževalni	osebni stik	9	213	Um-pred-01619
Gos004	Gos	Predavanje o vzgoji otroka, ki poudarja vzpodbujanje samostojnosti in odgovornosti, sprejemanje odločitev, pogovor z otrokom, izkazovanje ljubezni in vpliv partnerskih odnosov na čustveni razvoj otroka.	2010-03	lastni posnetek	-	Maribor	akademski, družboslovje	informativno-izobraževalni	osebni stik	11	214	Pf-pred-07541 Jf-publ-07549
Gos005	Gos	Javno predavanje in okrogla miza o univerzalnem temeljnem dohodku.	2010-02	lastni posnetek	-	Maribor	javno predavanje	informativno-izobraževalni	osebni stik	7	133	Am-mode-05666 Bf-pred-05667
Gos006	Gos	Predavanje iz književnosti na temo modernizma in avantgarde.	2010-02	lastni posnetek	-	Maribor	akademski, humanistika	informativno-izobraževalni	osebni stik	4	165	Am-pred-05665
Gos007	Gos	Predavanje ob dnevu fakultete o najnovejših odkritjih v vesolju.	2009-12	lastni posnetek	-	Maribor	javno predavanje	informativno-izobraževalni	osebni stik	6	238	Tm-pred-06583
Gos008	Gos	Predavanje s področja komunikacije človek-stroj.	2010-01	lastni posnetek	-	Maribor	akademski, tehnika	informativno-izobraževalni	osebni stik	3	92	Pm-pred-09040
Gos009	Gos	Konverzacijski del učne ure slovenščine za tujce v jezikovni šoli.	2009-06	lastni posnetek	-	Ljubljana	jezikovni tečaj za tujce	informativno-izobraževalni	osebni stik	12	99	Ef-stud-06579 Af-prof-06578 Tf-stud-06580
Gos010	Gos	Učna ura slovenščine, šesti razred OŠ. Obravnavali so oglasno sporočilo in nakupovalne navade.	2010-01	lastni posnetek	-	Gorje	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	13	129	Pf-prof-09042 Em-ucen-09046 Af-ucen-09041 Jf-ucen-09052
Gos011	Gos	Osnovna šola, predmet zgodovina, 6. razred, o obdobju pred Grki.	2009-12	lastni posnetek	-	Ljubljana	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	17	157	Df-ucen-09037 Bm-ucen-09035 Ff-ucen-09039 Am-ucen-09034 Mf-prof-09033
Gos012	Gos	6. razred, ura matematike, vaje za test: računske operacije z decimalnimi števili, vaje ter zapisovanje računa s pomočjo tekstne naloge.	2010-01	lastni posnetek	-	Gorje	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	6	107	Gm-ucen-02221 Af-prof-02215 Cf-ucen-02217
Gos013	Gos	Ura naravoslovja in tehnike v petem razredu OŠ, učitelj se z učenci pogovarja o vrstah prsti, rešujejo delovne liste in naredijo nekaj poskusov.	2010-01	lastni posnetek	-	Dobravlje	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	24	198	Cm-ucen-05655 Am-prof-05653 Pn-vsiucenci-10000 Gf-ucen-05659 Dm-ucen-05656 Ff-ucen-05658 Hf-ucen-05660
Gos014	Gos	Osnovnošolska učna ura naravoslovja (o podnebju) v petem razredu.	2010-05	lastni posnetek	-	Koper	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	27	195	Af-prof-07180 Hm-ucen-07187 Dm-ucen-07183 Bm-ucen-07181 Cf-ucen-07182
Gos015	Gos	Učna ura slovenščine, 7. razred. Književnost, ljudsko slovstvo: dela so analizirali, iskali v njih razna slogovna sredstva, arhaične izraze ...	2010-01	lastni posnetek	-	Gorje	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	15	132	Ff-ucen-02250 Sm-ucen-02261 Om-ucen-02259 Af-prof-02245
Gos016	Gos	Osnovnošolska učna ura naravoslovja (o rastlinah) v šestem razredu.	2010-08	lastni posnetek	-	Koper	3. triletje, naravoslovje	informativno-izobraževalni	osebni stik	16	122	Af-prof-05598 Pn-vsiucenci-10000 Cf-ucen-05600 Em-ucen-05602 Hm-ucen-05605
Gos017	Gos	Šolska ura o umetnostnem besedilu, prijateljstvu, pridevnikih v umetnostnem besedilu.	2010-01	lastni posnetek	-	Ljubljana	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	13	198	Af-prof-07104 Rm-ucen-07121 Om-ucen-07118 Tm-ucen-07123 If-ucen-07112
Gos018	Gos	Osnovnošolska ura predmeta družba, ponovitev naravnih značilnosti domače pokrajine, spoznavanje vrst naselij, bivališč, izpolnjevanje delovnih listov na temo značilnosti domačih naselij.	2009-10	lastni posnetek	-	Radenci	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	14	122	Lm-ucen-01096 Nm-ucen-01098 Mf-prof-01097 Em-ucen-01089
Gos019	Gos	Ura književnosti v šestem razredu, učenci berejo pesem, se o njej pogovarjajo in rešujejo delovni list.	2009-11	lastni posnetek	-	Maribor	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	11	128	Sf-prof-07036 Fm-ucen-07023 Gm-ucen-07024
Gos020	Gos	Učna ura zgodovine, OŠ, 9. razred, tema je holokavst. Med poukom je predvajan tudi enominutni posnetek s TV.	2009-11	lastni posnetek	-	Radlje ob Dravi	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	18	197	Pn-vsiucenci-10000 Tf-ucen-01069 Jm-ucen-01064 Mf-prof-01061
Gos021	Gos	Učna ura kemije, OŠ, 9. razred, poučevanje učencev o bazah in kislinah.	2009-11	lastni posnetek	-	Radlje ob Dravi	3. triletje, naravoslovje	informativno-izobraževalni	osebni stik	11	113	Pn-vsiucenci-10000 Sf-prof-01049 Bm-ucen-01052 Af-ucen-01051
Gos022	Gos	Učna ura matematike v sedmem razredu OŠ; preslikava čez premico, preslikava čez točko.	2010-09	lastni posnetek	-	Maribor	3. triletje, naravoslovje	informativno-izobraževalni	osebni stik	11	126	Um-prof-01624 Pf-ucen-01626 Fm-ucen-01627
Gos023	Gos	Radijski pogovor o izboru za pesem Evrovizije, o pravičnosti izbora in primernosti zmagovalca.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	3	54	Am-mode-05517 Lm-posl-05528
Gos024	Gos	Radijski pogovor o upravičenosti obvezne uporabe varnostnega pasu - mnenja za in proti.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	4	67	Em-mode-05517 Af-novi-05533
Gos025	Gos	Poročilo in debata o bolniških odsotnostih in zavodu za zdravstveno zavarovanje.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	5	62	Mf-posl-05556 Fm-mode-05517
Gos026	Gos	Pogovor o upravičenosti povišanja naročnine za javni RTV.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	5	45	Bf-novi-05533 Hm-anke-05569 Am-nast-05525
Gos027	Gos	Debata o upravičenosti referenduma o vstopu Hrvaške v zvezo Nato.	2009-09	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	8	70	Lm-posl-05607 Fm-mode-05592
Gos028	Gos	Radijska oddaja o reševanju mejne problematike s Hrvaško.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	5	68	Lm-anke-05587 Jm-anke-05585 Kf-anke-05586
Gos029	Gos	Razprava o uvedbi vinjet za slovenske avtoceste.	2009-07	-	-	Ljubljana	Aktual, Aktualno	informativno-izobraževalni	radio	8	78	Rm-novi-05592 Mm-posl-06513 Um-posl-06514
