TEXT-ID	RECORDING-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SPK-IDsUTTS	SEGS	WORDS
Gos001	JIfajzakhu-np0911061839.wav	Gos	Splošno predavanje za prvi letnik prevajalstva.	2009-11	lastni posnetek	-	Ljubljana	akademski, družboslovje	informativno-izobraževalni	osebni stik	Af-pred-02166, audience	115	280
Gos002	JIfajzakhu-np1003120917.wav	Gos	Ura filozofije, pri kateri predavatelj študentom razlaga nemško klasično filozofijo.	2010-03	lastni posnetek	-	Ljubljana	akademski, humanistika	informativno-izobraževalni	osebni stik	Zm-prof-01084, audience	66	234
Gos003	JIfajzaknr-np0911190022.wav	Gos	Strokovni seminar, namenjen predvsem kemikom in matematikom.	2010-01	lastni posnetek	-	Ljubljana	akademski, naravoslovje	informativno-izobraževalni	osebni stik	Um-pred-01619, Pm-publ-01621, Mm-pred-01620, Dm-publ-01622, Tm-publ-01623, all, audience	270	585
Gos004	JIfasvakdr-jt1003041136.wav	Gos	Predavanje o vzgoji otroka, ki poudarja vzpodbujanje samostojnosti in odgovornosti, sprejemanje odločitev, pogovor z otrokom, izkazovanje ljubezni in vpliv partnerskih odnosov na čustveni razvoj otroka.	2010-03	lastni posnetek	-	Maribor	akademski, družboslovje	informativno-izobraževalni	osebni stik	Pf-pred-07541, Mf-publ-07544, Mm-publ-07543, Vf-publ-07547, Pf-publ-07546, Jf-publ-07549, audience, Df-publ-07545, all, Mm-publ-07542, Zf-publ-07548	332	644
Gos005	JIfasvakdr-rd1001290912.wav	Gos	Javno predavanje in okrogla miza o univerzalnem temeljnem dohodku.	2010-02	lastni posnetek	-	Maribor	javno predavanje	informativno-izobraževalni	osebni stik	Am-mode-05666, Bf-pred-05667	64	238
Gos006	JIfasvakhu-kk1001201128.wav	Gos	Predavanje iz književnosti na temo modernizma in avantgarde.	2010-02	lastni posnetek	-	Maribor	akademski, humanistika	informativno-izobraževalni	osebni stik	Am-pred-05665	13	165
Gos007	JIfasvaknr-dv0912110922.wav	Gos	Predavanje ob dnevu fakultete o najnovejših odkritjih v vesolju.	2009-12	lastni posnetek	-	Maribor	javno predavanje	informativno-izobraževalni	osebni stik	Lm-prof-06582, Tm-pred-06583, audience	10	327
Gos008	JIfasvaknr-pv1001120730.wav	Gos	Predavanje s področja komunikacije človek-stroj.	2010-01	lastni posnetek	-	Maribor	akademski, tehnika	informativno-izobraževalni	osebni stik	Pm-pred-09040	71	154
Gos009	JIjsnnjtns-ak0908050925.wav	Gos	Konverzacijski del učne ure slovenščine za tujce v jezikovni šoli.	2009-06	lastni posnetek	-	Ljubljana	jezikovni tečaj za tujce	informativno-izobraževalni	osebni stik	Af-prof-06578, Ef-stud-06579, Tf-stud-06580, audience, all, Yf-stud-00000	349	399
Gos010	JIosjzdrdr-ak1001100900.wav	Gos	Učna ura slovenščine, šesti razred OŠ. Obravnavali so oglasno sporočilo in nakupovalne navade.	2010-01	lastni posnetek	-	Gorje	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	Pf-prof-09042, Bm-ucen-09043, Cf-ucen-09044, Mf-ucen-09048, Dm-ucen-09045, Jf-ucen-09052, Pn-vsiucenci-10000, Em-ucen-09046, Fm-ucen-09047, Gf-ucen-09049, Im-ucen-09051, Km-ucen-09053, audience, Hf-ucen-09050, Af-ucen-09041, all	590	722
Gos011	JIosjzdrdr-np0912052335.wav	Gos	Osnovna šola, predmet zgodovina, 6. razred, o obdobju pred Grki.	2009-12	lastni posnetek	-	Ljubljana	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	Mf-prof-09033, Pn-vsiucenci-10000, Bm-ucen-09035, Am-ucen-09034, Df-ucen-09037, Ff-ucen-09039, Ef-ucen-09038, Cm-ucen-09036, audience	816	945
Gos012	JIosjzdrna-ak1001100755.wav	Gos	6. razred, ura matematike, vaje za test: računske operacije z decimalnimi števili, vaje ter zapisovanje računa s pomočjo tekstne naloge.	2010-01	lastni posnetek	-	Gorje	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	Af-prof-02215, Bm-ucen-02216, Pn-vsiucenci-10000, Cf-ucen-02217, Dm-ucen-02218, Em-ucen-02219, Ff-ucen-02220, Mm-ucen-02227, Jf-ucen-02224, Pf-ucen-02230, Gm-ucen-02221, If-ucen-02223, Nm-ucen-02228, Om-ucen-02229, Hf-ucen-02222, Lm-ucen-02226, Kf-ucen-02225	542	581
Gos013	JIosjzdrna-kk0910230820.wav	Gos	Ura naravoslovja in tehnike v petem razredu OŠ, učitelj se z učenci pogovarja o vrstah prsti, rešujejo delovne liste in naredijo nekaj poskusov.	2010-01	lastni posnetek	-	Dobravlje	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	Am-prof-05653, Cm-ucen-05655, Bm-ucen-05654, Dm-ucen-05656, Pn-vsiucenci-10000, Ff-ucen-05658, audience, Jf-ucen-05662, If-ucen-05661, Gf-ucen-05659, Hf-ucen-05660, Em-ucen-05657	977	1082
Gos014	JIosjzdrna-pk1005181032.wav	Gos	Osnovnošolska učna ura naravoslovja (o podnebju) v petem razredu.	2010-05	lastni posnetek	-	Koper	2. triletje, naravoslovje	informativno-izobraževalni	osebni stik	Af-prof-07180, Bm-ucen-07181, Ff-ucen-07185, Gf-ucen-07186, Hm-ucen-07187, Em-ucen-07184, Dm-ucen-07183, Cf-ucen-07182, Jm-ucen-07189, If-ucen-07188, Pn-vsiucenci-10000, Km-ucen-07190	964	1092
Gos015	JIosjztrdr-ak1001101050.wav	Gos	Učna ura slovenščine, 7. razred. Književnost, ljudsko slovstvo: dela so analizirali, iskali v njih razna slogovna sredstva, arhaične izraze ...	2010-01	lastni posnetek	-	Gorje	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	Af-prof-02245, Bf-ucen-02246, Nm-ucen-02258, Gf-ucen-02251, Rm-ucen-02260, Sm-ucen-02261, Om-ucen-02259, Df-ucen-02248, Im-ucen-02253, Ef-ucen-02249, Ff-ucen-02250, Tm-ucen-02262, Lm-ucen-02256, Km-ucen-02255, Cf-ucen-02247, Jm-ucen-02254, Hm-ucen-02252, Pn-vsiucenci-10000, Mm-ucen-02257, audience	808	860
Gos016	JIosjztrna-pk1005181055.wav	Gos	Osnovnošolska učna ura naravoslovja (o rastlinah) v šestem razredu.	2010-08	lastni posnetek	-	Koper	3. triletje, naravoslovje	informativno-izobraževalni	osebni stik	Af-prof-05598, Pn-vsiucenci-10000, Bf-ucen-05599, Lf-ucen-05609, Cf-ucen-05600, Dm-ucen-05601, Em-ucen-05602, Fm-ucen-05603, Gm-ucen-05604, Hm-ucen-05605, Km-ucen-05608, Jf-ucen-05607, Om-ucen-05612, If-ucen-05606, Pf-ucen-05613, Mf-ucen-05610, Nf-ucen-05611	788	921
Gos017	JIossltrdr-jm0912151304.wav	Gos	Šolska ura o umetnostnem besedilu, prijateljstvu, pridevnikih v umetnostnem besedilu.	2010-01	lastni posnetek	-	Ljubljana	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	Af-prof-07104, Ff-ucen-07109, Nm-ucen-07117, Lm-ucen-07115, Ef-ucen-07108, Pm-ucen-07119, Mm-ucen-07116, Qm-ucen-07120, Hf-ucen-07111, Gf-ucen-07110, Rm-ucen-07121, audience, If-ucen-07112, Tm-ucen-07123, Pn-vsiucenci-10000, Jf-ucen-07113, Cf-ucen-07106, Kf-ucen-07114, Sm-ucen-07122, Dm-ucen-07107, all, Om-ucen-07118, Bf-ucen-07105	587	763
Gos018	JIossvdrdr-jt0910141912.wav	Gos	Osnovnošolska ura predmeta družba, ponovitev naravnih značilnosti domače pokrajine, spoznavanje vrst naselij, bivališč, izpolnjevanje delovnih listov na temo značilnosti domačih naselij.	2009-10	lastni posnetek	-	Radenci	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	Mf-prof-01097, Pn-vsiucenci-10000, Gm-ucen-01091, Am-ucen-01085, Ff-ucen-01090, Km-ucen-01095, Df-ucen-01088, audience, Bf-ucen-01086, Jf-ucen-01094, Cf-ucen-01087, Lm-ucen-01096, all, Nm-ucen-01098, Em-ucen-01089, If-ucen-01093, Hf-ucen-01092	800	818
Gos019	JIossvdrdr-kk0911181120.wav	Gos	Ura književnosti v šestem razredu, učenci berejo pesem, se o njej pogovarjajo in rešujejo delovni list.	2009-11	lastni posnetek	-	Maribor	2. triletje, družboslovje	informativno-izobraževalni	osebni stik	Sf-prof-07036, Fm-ucen-07023, Gm-ucen-07024, Hm-ucen-07025, Im-ucen-07026, Jm-ucen-07027, all, Km-ucen-07028, Df-ucen-07021, Ef-ucen-07022, Lm-ucen-07029, Nm-ucen-07031, Mm-ucen-07030, Pm-ucen-07033, Rf-ucen-07035, Om-ucen-07032, Cm-ucen-07020, audience, Bm-ucen-07019, Qm-ucen-07034, Pn-vsiucenci-10000, Am-ucen-07018	670	787
Gos020	JIossvtrdr-is0911272343.wav	Gos	Učna ura zgodovine, OŠ, 9. razred, tema je holokavst. Med poukom je predvajan tudi enominutni posnetek s TV.	2009-11	lastni posnetek	-	Radlje ob Dravi	3. triletje, družboslovje	informativno-izobraževalni	osebni stik	Mf-prof-01061, Tf-ucen-01068, Jm-ucen-01064, Jm-ucen-01063, Tf-ucen-01069, Mf-ucen-01066, Nf-nast-01067, Lf-ucen-01065, Pn-vsiucenci-10000, Lf-ucen-01085, all, Ef-ucen-01062, Uf-ucen-01070	548	662
