TEXT-ID	TYPE
Gos001	JI
Gos002	JI
Gos003	JI
Gos004	JI
Gos005	JI
Gos006	JI
Gos007	JI
Gos008	JI
Gos009	JI
Gos010	JI
Gos011	JI
Gos012	JI
Gos013	JI
Gos014	JI
Gos015	JI
Gos016	JI
Gos017	JI
Gos018	JI
Gos019	JI
Gos020	JI
Gos021	JI
Gos022	JI
Gos023	JI
Gos024	JI
Gos025	JI
Gos026	JI
Gos027	JI
Gos028	JI
Gos029	JI
Gos030	JI
Gos031	JI
Gos032	JI
Gos033	JI
Gos034	JI
Gos035	JI
Gos036	JI
Gos037	JI
Gos038	JI
Gos039	JI
Gos040	JI
Gos041	JI
Gos042	JI
Gos043	JI
Gos044	JI
Gos045	JI
Gos046	JI
Gos047	JI
Gos048	JI
Gos049	JI
Gos050	JI
Gos051	JI
Gos052	JI
Gos053	JI
Gos054	JI
Gos055	JI
Gos056	JI
Gos057	JI
Gos058	JI
Gos059	JI
Gos060	JI
Gos061	JI
Gos062	JI
Gos063	JI
Gos064	JI
Gos065	JI
Gos066	JI
Gos067	JI
Gos068	JI
Gos069	JI
Gos070	JI
Gos071	JI
Gos072	JI
Gos073	JI
Gos074	JI
Gos075	JI
Gos076	JI
Gos077	JI
Gos078	JI
Gos079	JI
Gos080	JI
Gos081	JI
Gos082	JI
Gos083	JI
Gos084	JI
Gos085	JI
Gos086	JI
Gos087	JI
Gos088	JI
Gos089	JI
Gos090	JI
Gos091	JI
Gos092	JI
Gos093	JI
Gos094	JI
Gos095	JI
Gos096	JI
Gos097	JI
Gos098	JI
Gos099	JI
Gos100	JI
Gos101	JI
Gos102	JI
Gos103	JI
Gos104	JI
Gos105	JI
Gos106	JI
Gos107	JI
Gos108	JI
Gos109	JI
Gos110	JI
Gos111	JI
Gos112	JI
Gos113	JI
Gos114	JI
Gos115	JI
Gos116	JI
Gos117	JI
Gos118	JI
Gos119	JI
Gos120	JI
Gos121	JI
Gos122	JI
Gos123	JI
Gos124	JI
Gos125	JI
Gos126	JI
Gos127	JI
Gos128	JI
Gos129	JI
Gos130	JR
Gos131	JR
Gos132	JR
Gos133	JR
Gos134	JR
Gos135	JR
Gos136	JR
Gos137	JR
Gos138	JR
Gos139	JR
Gos140	JR
Gos141	JR
Gos142	JR
Gos143	JR
Gos144	JR
Gos145	JR
Gos146	JR
Gos147	JR
Gos148	JR
Gos149	JR
Gos150	JR
Gos151	JR
Gos152	JR
Gos153	JR
Gos154	JR
Gos155	JR
Gos156	JR
Gos157	JR
Gos158	JR
Gos159	JR
Gos160	JR
Gos161	JR
Gos162	JR
Gos163	JR
Gos164	JR
Gos165	JR
Gos166	JR
Gos167	JR
Gos168	JR
Gos169	JR
Gos170	JR
Gos171	JR
Gos172	NN
Gos173	NN
Gos174	NN
Gos175	NN
Gos176	NN
Gos177	NN
Gos178	NN
Gos179	NN
Gos180	NN
Gos181	NN
Gos182	NN
Gos183	NN
Gos184	NN
Gos185	NN
Gos186	NN
Gos187	NN
Gos188	NN
Gos189	NN
Gos190	NN
Gos191	NN
Gos192	NN
Gos193	NN
Gos194	NN
Gos195	NN
Gos196	NN
Gos197	NN
Gos198	NN
Gos199	NN
Gos200	NN
Gos201	NN
Gos202	NN
Gos203	NN
Gos204	NN
Gos205	NN
Gos206	NN
Gos207	NN
Gos208	NN
Gos209	NN
Gos210	NN
Gos211	NN
Gos212	NN
Gos213	NN
Gos214	NN
Gos215	NN
Gos216	NN
Gos217	NZ
Gos218	NZ
Gos219	NZ
Gos220	NZ
Gos221	NZ
Gos222	NZ
Gos223	NZ
Gos224	NZ
Gos225	NZ
Gos226	NZ
Gos227	NZ
Gos228	NZ
Gos229	NZ
Gos230	NZ
Gos231	NZ
Gos232	NZ
Gos233	NZ
Gos234	NZ
Gos235	NZ
Gos236	NZ
Gos237	NZ
Gos238	NZ
Gos239	NZ
Gos240	NZ
Gos241	NZ
Gos242	NZ
Gos243	NZ
Gos244	NZ
Gos245	NZ
Gos246	NZ
Gos247	NZ
Gos248	NZ
Gos249	NZ
Gos250	NZ
Gos251	NZ
Gos252	NZ
Gos253	NZ
Gos254	NZ
Gos255	NZ
Gos256	NZ
Gos257	NZ
Gos258	NZ
Gos259	NZ
Gos260	NZ
Gos261	NZ
Gos262	NZ
Gos263	NZ
Gos264	NZ
Gos265	NZ
Gos266	NZ
Gos267	NZ
Gos268	NZ
Gos269	NZ
Gos270	NZ
Gos271	NZ
Gos272	NZ
Gos273	NZ
Gos274	NZ
Gos275	NZ
Gos276	NZ
Gos277	NZ
Gos278	NZ
Gos279	NZ
Gos280	NZ
Gos281	NZ
Gos282	NZ
Gos283	NZ
Gos284	NZ
Gos285	NZ
Gos286	NZ
Gos287	NZ
GosVL01_pravo	JI
GosVL02_kleme	JI
GosVL03_medit	JI
GosVL04_fitot	JI
GosVL05_zsrce	JI
GosVL06_kzcoi	JI
GosVL07_kungf	JI
GosVL08_droge	JI
GosVL09_ocean	JI
GosVL10_partn	JI
GosVL11_lhise	JI
GosVL12_cujec	JI
GosVL13_menin	JI
GosVL14_karci	JI
GosVL15_celia	JI
GosVL16_stara	JI
GosVL17_inten	JI
GosVL18_aritm	JI
GosVL19_pujsk	JI
GosVL20_zumer	JI
GosVL21_poraz	JI
GosVL22_siste	JI
GosVL23_jeklo	JI
GosVL24_inter	JI
GosVL25_nanom	JI
GosVL26_slova	JI
GosVL27_zagar	JI
GosVL28_reber	JI
GosVL29_hladn	JI
GosVL30_kramb	JI
GosVL31_plesn	JI
GosVL32_temen	JI
GosVL33_erjav	JI
GosVL34_druzb	JI
GosVL35_vicar	JI
GosVL36_bozan	JI
GosVL37_zadel	JI
GosVL38_remsk	JI
GosVL39_skrek	JI
GosVL40_dobra	JI
GosVL41_custv	JI
GosVL42_kovac	JI
GosVL43_ramsa	JI
GosVL44_mramo	JI
GosVL45_tinta	JI
GosVL46_peter	JI
GosVL47_algeb	JI
GosVL48_vavpo	JI
GosVL49_izobr	JI
GosVL50_smole	JI
GosVL51_horva	JI
GosVL52_bezge	JI
GosVL53_sirok	JI
GosVL54_mrhar	JI
GosVL55_vrabe	JI
Artur-J-Gvecg-P500001	JI
Artur-J-Gvecg-P500002	JI
Artur-J-Gvecg-P500013	JI
Artur-J-Gvecg-P500014	JI
Artur-J-Gvecg-P500015	JI
Artur-J-Gvecg-P500016	JI
Artur-J-Gvecg-P500020	JI
Artur-J-Gvecg-P500021	JI
Artur-J-Gvecg-P500024	JI
Artur-J-Gvecg-P500025	JI
Artur-J-Gvecg-P500026	JI
Artur-J-Gvecg-P500027	JI
Artur-J-Gvecg-P500028	JI
Artur-J-Gvecg-P500029	JI
Artur-J-Gvecg-P500030	JI
Artur-J-Gvecg-P500032	JI
Artur-J-Gvecg-P500034	JI
Artur-J-Gvecg-P500035	JI
Artur-J-Gvecg-P500036	JI
Artur-J-Gvecg-P500037	JI
Artur-J-Gvecg-P500039	JI
Artur-J-Gvecg-P500040	JI
Artur-J-Gvecg-P500041	JI
Artur-J-Gvecg-P500042	JI
Artur-J-Gvecg-P500043	JI
Artur-J-Gvecg-P500045	JI
Artur-J-Gvecg-P500046	JI
Artur-J-Gvecg-P500047	JI
Artur-J-Gvecg-P500048	JI
Artur-J-Gvecg-P500050	JI
Artur-J-Gvecg-P500051	JI
Artur-J-Gvecg-P500053	JI
Artur-J-Gvecg-P500054	JI
Artur-J-Gvecg-P500055	JI
Artur-J-Gvecg-P500056	JI
Artur-J-Gvecg-P500057	JI
Artur-J-Gvecg-P500058	JI
Artur-J-Gvecg-P500059	JI
Artur-J-Gvecg-P500060	JI
Artur-J-Gvecg-P500061	JI
Artur-J-Gvecg-P500062	JI
Artur-J-Gvecg-P500063	JI
Artur-J-Gvecg-P500064	JI
Artur-J-Gvecg-P580001	JI
Artur-J-Gvecg-P580002	JI
Artur-J-Gvecg-P580003	JI
Artur-J-Gvecg-P580004	JI
Artur-J-Gvecg-P580005	JI
Artur-J-Gvecg-P580006	JI
Artur-J-Gvecg-P580007	JI
Artur-J-Gvecg-P580008	JI
Artur-J-Gvecg-P580009	JI
Artur-J-Gvecg-P580010	JI
Artur-J-Gvecg-P580011	JI
Artur-J-Gvecg-P580012	JI
Artur-J-Gvecg-P580013	JI
Artur-J-Gvecg-P580014	JI
Artur-J-Gvecg-P580015	JI
Artur-J-Gvecg-P580016	JI
Artur-J-Gvecg-P580017	JI
Artur-J-Gvecg-P580019	JI
Artur-J-Gvecg-P580020	JI
Artur-J-Gvecg-P580021	JI
Artur-J-Gvecg-P580022	JI
Artur-J-Gvecg-P580023	JI
Artur-J-Gvecg-P580024	JI
Artur-J-Gvecg-P580025	JI
Artur-J-Gvecg-P580026	JI
Artur-J-Gvecg-P580027	JI
Artur-J-Gvecg-P580028	JI
Artur-J-Gvecg-P580029	JI
Artur-J-Gvecg-P580030	JI
Artur-J-Gvecg-P580031	JI
Artur-J-Gvecg-P580032	JI
Artur-J-Gvecg-P580033	JI
Artur-J-Gvecg-P580034	JI
Artur-J-Gvecg-P580035	JI
Artur-J-Gvecg-P580036	JI
Artur-J-Gvecg-P580037	JI
Artur-J-Gvecg-P580038	JI
Artur-J-Gvecg-P580039	JI
Artur-J-Gvecg-P580040	JI
Artur-J-Gvecg-P580041	JI
Artur-J-Gvecg-P580042	JI
Artur-J-Gvecg-P580043	JI
Artur-J-Gvecg-P580044	JI
Artur-J-Gvecg-P580046	JI
Artur-J-Gvecg-P580047	JI
Artur-J-Gvecg-P580048	JI
Artur-J-Gvecg-P580049	JI
Artur-J-Gvecg-P580050	JI
Artur-J-Gvecg-P580051	JI
Artur-N-G5001-P600001	NZ
Artur-N-G5002-P600001	NZ
Artur-N-G5003-P600002	NZ
Artur-N-G5004-P600002	NZ
Artur-N-G5005-P600003	NZ
Artur-N-G5006-P600003	NZ
Artur-N-G5007-P600004	NZ
Artur-N-G5008-P600004	NZ
Artur-N-G5009-P600005	NZ
Artur-N-G5011-P600005	NZ
Artur-N-G5013-P600007	NZ
Artur-N-G5014-P600007	NZ
Artur-N-G5015-P600008	NZ
Artur-N-G5016-P600008	NZ
Artur-N-G5017-P600009	NZ
Artur-N-G5017-P600010	NZ
Artur-N-G5018-P600009	NZ
Artur-N-G5018-P600011	NZ
Artur-N-G5019-P600012	NZ
Artur-N-G5019-P600013	NZ
Artur-N-G5020-P600012	NZ
Artur-N-G5020-P600014	NZ
Artur-N-G5021-P600015	NZ
Artur-N-G5021-P600016	NZ
Artur-N-G5022-P600015	NZ
Artur-N-G5022-P600017	NZ
Artur-N-G5023-P600018	NZ
Artur-N-G5023-P600019	NZ
Artur-N-G5024-P600018	NZ
Artur-N-G5024-P600020	NZ
Artur-N-G5025-P600021	NZ
Artur-N-G5025-P600022	NZ
Artur-N-G5026-P600021	NZ
Artur-N-G5026-P600023	NZ
Artur-N-G5027-P600024	NZ
Artur-N-G5027-P600025	NZ
Artur-N-G5028-P600024	NZ
Artur-N-G5028-P600026	NZ
Artur-N-G5029-P600027	NZ
Artur-N-G5029-P600028	NZ
Artur-N-G5030-P600027	NZ
Artur-N-G5030-P600029	NZ
Artur-N-G5033-P600031	NZ
Artur-N-G5033-P600032	NZ
Artur-N-G5034-P600031	NZ
Artur-N-G5034-P600033	NZ
Artur-N-G5035-P600034	NZ
Artur-N-G5036-P600034	NZ
Artur-N-G5037-P600035	NZ
Artur-N-G5037-P600036	NZ
Artur-N-G5038-P600035	NZ
Artur-N-G5038-P600037	NZ
Artur-N-G5039-P600039	NZ
Artur-N-G5040-P600040	NZ
Artur-N-G5041-P600042	NZ
Artur-N-G5042-P600043	NZ
Artur-N-G5043-P600044	NZ
Artur-N-G5044-P600044	NZ
Artur-N-G5045-P600046	NZ
Artur-N-G5046-P600047	NZ
Artur-N-G5049-P600049	NZ
Artur-N-G5050-P600049	NZ
Artur-N-G5051-P600501	NZ
Artur-N-G5053-P600052	NZ
Artur-N-G5054-P600052	NZ
Artur-N-G5059-P600055	NZ
Artur-N-G5060-P600055	NZ
Artur-N-G5061-P600561	NZ
Artur-N-G5062-P600057	NZ
Artur-N-G5063-P600581	NZ
Artur-N-G5064-P600591	NZ
