wordlen,sent_id,speaker,old_split,in_sst,in_spog,old_name,letters,doc,split
8,Gos002.s110,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
36,Gos002.s112,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
6,Gos002.s113,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
35,Gos002.s114,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
18,Gos002.s115,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
25,Gos002.s116,Zm-prof-01084,train,true,false,JIfajzakhu,JI,Gos002,train
23,Gos003.s201,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
15,Gos003.s202,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
32,Gos003.s203,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
20,Gos003.s204,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
22,Gos003.s205,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
38,Gos003.s207,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
15,Gos003.s208,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
27,Gos003.s210,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
21,Gos003.s211,Um-pred-01619,train,true,false,JIfajzaknr,JI,Gos003,train
3,Gos005.s1,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
16,Gos005.s2,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
13,Gos005.s3,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
29,Gos005.s4,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
46,Gos005.s5,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
3,Gos005.s6,Bf-pred-05667,train,true,false,JIfasvakdr,JI,Gos005,train
23,Gos005.s8,Am-mode-05666,train,true,false,JIfasvakdr,JI,Gos005,train
26,Gos006.s123,Am-pred-05665,train,true,false,JIfasvakhu,JI,Gos006,train
58,Gos006.s124,Am-pred-05665,train,true,false,JIfasvakhu,JI,Gos006,train
33,Gos006.s125,Am-pred-05665,train,true,false,JIfasvakhu,JI,Gos006,train
48,Gos006.s126,Am-pred-05665,train,true,false,JIfasvakhu,JI,Gos006,train
52,Gos007.s173,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
28,Gos007.s174,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
65,Gos007.s175,Tm-pred-06583,train,true,false,JIfasvaknr,JI,Gos007,train
