who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Af-udel-02552,304,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Af-udel-02552,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Bf-udel-02553,18,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Bf-udel-02553,"podravska, osrednjeslovenska",-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Cf-udel-02554,75,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Cf-udel-02554,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Df-udel-02555,39,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Df-udel-02555,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Af-stra-02276,114,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Af-stra-02276,podravska,-,ženski,30 do 59 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Bf-prod-02277,121,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Bf-prod-02277,"podravska, savinjska",-,ženski,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Cf-stra-02265,201,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Cf-stra-02265,podravska,-,ženski,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Bm-star-03014,125,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Bm-star-03014,osrednjeslovenska,-,moški,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Df-star-03015,42,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Df-star-03015,osrednjeslovenska,-,ženski,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Tm-otro-03016,291,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Tm-otro-03016,osrednjeslovenska,-,moški,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
If-sode-01616,170,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,If-sode-01616,obalno-kraška,-,ženski,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Kf-sode-01615,82,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,Kf-sode-01615,"obalno-kraška, osrednjeslovenska",-,ženski,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Rm-sode-01614,81,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,Rm-sode-01614,"obalno-kraška, osrednjeslovenska",-,moški,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Sf-sode-01618,69,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,Sf-sode-01618,obalno-kraška,-,ženski,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Tf-sode-01617,4,SPOG-Gos228-NZoskpzupr-np0911041757.xml,"zunaj doma, prijatelji",Gos228,Tf-sode-01617,obalno-kraška,-,ženski,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Tf-prij-06001,228,SPOG-Gos268-NZteceprij-im0906301216.xml,klic prijatelju,Gos268,Tf-prij-06001,"savinjska, podravska",-,ženski,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Vf-prij-06002,199,SPOG-Gos268-NZteceprij-im0906301216.xml,klic prijatelju,Gos268,Vf-prij-06002,savinjska,-,ženski,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Af-soro-09512,287,SPOG-Gos280-NZteljsoro-bo0910042000.xml,klic sorodniku,Gos280,Af-soro-09512,osrednjeslovenska,-,ženski,nad 60 let,klic sorodniku,telefon,Gos,zasebni
Mf-soro-09513,141,SPOG-Gos280-NZteljsoro-bo0910042000.xml,klic sorodniku,Gos280,Mf-soro-09513,osrednjeslovenska,-,ženski,nad 60 let,klic sorodniku,telefon,Gos,zasebni
Am-prod-05581,346,SPOG-Gos173-NNoskpprdo-pk1003311343.xml,prodaja/trgovina,Gos173,Am-prod-05581,obalno-kraška,-,moški,30 do 59 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Bm-stra-05582,136,SPOG-Gos173-NNoskpprdo-pk1003311343.xml,prodaja/trgovina,Gos173,Bm-stra-05582,"obalno-kraška, gorenjska",-,moški,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Af-prij-07149,355,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji",Gos257,Af-prij-07149,jugovzhodna Slovenija,-,ženski,30 do 59 let,"doma, prijatelji",osebni stik,Gos,zasebni
Bm-prij-07150,37,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji",Gos257,Bm-prij-07150,"jugovzhodna Slovenija, osrednjeslovenska",-,moški,30 do 59 let,"doma, prijatelji",osebni stik,Gos,zasebni
