who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Bf-novi-01501,24,SPOG-Gos069-JItvslpopr-rd0903232305.xml,"PopTV, Preverjeno",Gos069,Bf-novi-01501,-,-,ženski,-,"PopTV, Preverjeno",televizija,Gos,informativno-izobraževalni
Hm-anke-04506,13,SPOG-Gos069-JItvslpopr-rd0903232305.xml,"PopTV, Preverjeno",Gos069,Hm-anke-04506,-,-,moški,-,"PopTV, Preverjeno",televizija,Gos,informativno-izobraževalni
Af-novi-02001,32,SPOG-Gos077-JItvslpour-rd0904141046.xml,"PopTV, 24ur",Gos077,Af-novi-02001,-,-,ženski,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Af-udel-02552,41,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Af-udel-02552,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Bf-udel-02553,23,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Bf-udel-02553,"podravska, osrednjeslovenska",-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Cf-udel-02554,27,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Cf-udel-02554,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Df-udel-02555,23,SPOG-Gos181-NNosljsods-lr0906022314.xml,neformalni delovni sestanek,Gos181,Df-udel-02555,osrednjeslovenska,-,ženski,30 do 59 let,neformalni delovni sestanek,osebni stik,Gos,nezasebni
Am-novi-05591,27,SPOG-Gos100-JItvslpour-rd0904151211.xml,"PopTV, 24ur",Gos100,Am-novi-05591,obalno-kraška,-,moški,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Jm-soro-00810,63,SPOG-Gos281-NZteljsoro-mj1004062313.xml,"zunaj doma, družina",Gos281,Jm-soro-00810,osrednjeslovenska,-,moški,18 do 34 let,"zunaj doma, družina",telefon,Gos,zasebni
Mm-soro-00809,82,SPOG-Gos281-NZteljsoro-mj1004062313.xml,"zunaj doma, družina",Gos281,Mm-soro-00809,osrednjeslovenska,-,moški,18 do 34 let,"zunaj doma, družina",telefon,Gos,zasebni
Af-stra-02276,16,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Af-stra-02276,podravska,-,ženski,30 do 59 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Bf-prod-02277,15,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Bf-prod-02277,"podravska, savinjska",-,ženski,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Cf-stra-02265,2,SPOG-Gos190-NNosmbcvst-bb1004191439.xml,prodaja/trgovina,Gos190,Cf-stra-02265,podravska,-,ženski,18 do 34 let,prodaja/trgovina,osebni stik,Gos,nezasebni
Tm-ssta-00802,72,SPOG-Gos237-NZosljdodr-mj0912202305.xml,"doma, družina",Gos237,Tm-ssta-00802,osrednjeslovenska,-,moški,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Nf-novi-03502,23,SPOG-Gos075-JItvslpour-rd0904141036.xml,"PopTV, 24ur",Gos075,Nf-novi-03502,-,-,ženski,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Bm-star-03014,28,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Bm-star-03014,osrednjeslovenska,-,moški,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Df-star-03015,15,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Df-star-03015,osrednjeslovenska,-,ženski,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Tm-otro-03016,33,SPOG-Gos233-NZosljdodr-ab0907091515.xml,"doma, družina",Gos233,Tm-otro-03016,osrednjeslovenska,-,moški,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Mm-udel-07538,7,SPOG-Gos196-NNosmbpods-sv1007301022.xml,formalni razgovor,Gos196,Mm-udel-07538,podravska,-,moški,18 do 34 let,formalni razgovor,osebni stik,Gos,nezasebni
Vf-nadr-07537,93,SPOG-Gos196-NNosmbpods-sv1007301022.xml,formalni razgovor,Gos196,Vf-nadr-07537,podravska,-,ženski,18 do 34 let,formalni razgovor,osebni stik,Gos,nezasebni
Pm-pred-09040,74,SPOG-Gos008-JIfasvaknr-pv1001120730.xml,"akademski, tehnika",Gos008,Pm-pred-09040,podravska,-,moški,30 do 59 let,"akademski, tehnika",osebni stik,Gos,informativno-izobraževalni
Bf-anke-01503,34,SPOG-Gos066-JItvslpopr-rd0903232135.xml,"PopTV, Preverjeno",Gos066,Bf-anke-01503,-,-,ženski,-,"PopTV, Preverjeno",televizija,Gos,informativno-izobraževalni
Df-novi-01501,8,SPOG-Gos066-JItvslpopr-rd0903232135.xml,"PopTV, Preverjeno",Gos066,Df-novi-01501,-,-,ženski,-,"PopTV, Preverjeno",televizija,Gos,informativno-izobraževalni
Sm-inte-03504,28,SPOG-Gos101-JItvslpour-rd0904151213.xml,"PopTV, 24ur",Gos101,Sm-inte-03504,-,-,moški,-,"PopTV, 24ur",televizija,Gos,informativno-izobraževalni
Am-prij-02280,16,SPOG-Gos253-NZosmbzupr-rd1003301557.xml,"zunaj doma, prijatelji",Gos253,Am-prij-02280,"koroška, podravska",-,moški,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Bm-prij-02281,41,SPOG-Gos253-NZosmbzupr-rd1003301557.xml,"zunaj doma, prijatelji",Gos253,Bm-prij-02281,podravska,-,moški,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Cm-prij-02282,38,SPOG-Gos253-NZosmbzupr-rd1003301557.xml,"zunaj doma, prijatelji",Gos253,Cm-prij-02282,podravska,-,moški,30 do 59 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Af-prod-02279,23,SPOG-Gos211-NNtembstpr-bb1005121513.xml,informacije,Gos211,Af-prod-02279,podravska,-,ženski,18 do 34 let,informacije,telefon,Gos,nezasebni
Am-novi-02535,14,SPOG-Gos074-JItvslpotr-rd0903302024.xml,"PopTV, Trenja",Gos074,Am-novi-02535,-,-,moški,-,"PopTV, Trenja",televizija,Gos,informativno-izobraževalni
Bm-nast-02536,11,SPOG-Gos074-JItvslpotr-rd0903302024.xml,"PopTV, Trenja",Gos074,Bm-nast-02536,-,-,moški,-,"PopTV, Trenja",televizija,Gos,informativno-izobraževalni
Om-gost-02548,0,SPOG-Gos074-JItvslpotr-rd0903302024.xml,"PopTV, Trenja",Gos074,Om-gost-02548,-,-,moški,-,"PopTV, Trenja",televizija,Gos,informativno-izobraževalni
Pm-gost-02549,46,SPOG-Gos074-JItvslpotr-rd0903302024.xml,"PopTV, Trenja",Gos074,Pm-gost-02549,-,-,moški,-,"PopTV, Trenja",televizija,Gos,informativno-izobraževalni
Qm-gost-02550,48,SPOG-Gos074-JItvslpotr-rd0903302024.xml,"PopTV, Trenja",Gos074,Qm-gost-02550,-,-,moški,-,"PopTV, Trenja",televizija,Gos,informativno-izobraževalni
Am-novi-02099,70,SPOG-Gos168-JRtvslslsp-rd0905200815.xml,"TVSlo, šport",Gos168,Am-novi-02099,osrednjeslovenska,-,moški,18 do 34 let,"TVSlo, šport",televizija,Gos,razvedrilni
Bm-novi-02092,73,SPOG-Gos168-JRtvslslsp-rd0905200815.xml,"TVSlo, šport",Gos168,Bm-novi-02092,jugovzhodna Slovenija,-,moški,30 do 59 let,"TVSlo, šport",televizija,Gos,razvedrilni
Bf-prij-01071,61,SPOG-Gos287-NZtesgprij-is0905111918.xml,klic prijatelju,Gos287,Bf-prij-01071,"koroška, osrednjeslovenska",-,ženski,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Bm-prij-01072,30,SPOG-Gos287-NZtesgprij-is0905111918.xml,klic prijatelju,Gos287,Bm-prij-01072,"pomurska, koroška, podravska",-,moški,18 do 34 let,klic prijatelju,telefon,Gos,zasebni
Dm-mode-01017,177,SPOG-Gos145-JRrasvcijp-rd0908250930.xml,"City, jutranji",Gos145,Dm-mode-01017,podravska,-,moški,18 do 34 let,"City, jutranji",radio,Gos,razvedrilni
Ef-mode-01018,1,SPOG-Gos145-JRrasvcijp-rd0908250930.xml,"City, jutranji",Gos145,Ef-mode-01018,podravska,-,ženski,18 do 34 let,"City, jutranji",radio,Gos,razvedrilni
Mm-posl-01032,25,SPOG-Gos145-JRrasvcijp-rd0908250930.xml,"City, jutranji",Gos145,Mm-posl-01032,-,-,moški,-,"City, jutranji",radio,Gos,razvedrilni
Bm-inte-07502,43,SPOG-Gos113-JItvslslod-rd0905280739.xml,"TVSlo, Odmevi",Gos113,Bm-inte-07502,-,-,moški,-,"TVSlo, Odmevi",televizija,Gos,informativno-izobraževalni
Rf-novi-01604,15,SPOG-Gos113-JItvslslod-rd0905280739.xml,"TVSlo, Odmevi",Gos113,Rf-novi-01604,-,-,ženski,30 do 59 let,"TVSlo, Odmevi",televizija,Gos,informativno-izobraževalni
Sm-novi-06570,67,SPOG-Gos125-JItvslslsc-rd0905271043.xml,"TVSlo, StudioCity",Gos125,Sm-novi-06570,-,-,moški,-,"TVSlo, StudioCity",televizija,Gos,informativno-izobraževalni
Am-star-02268,240,SPOG-Gos249-NZosmbdodr-rd1005060903.xml,"doma, družina",Gos249,Am-star-02268,"tujina, podravska",-,moški,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
Bf-otro-02269,5,SPOG-Gos249-NZosmbdodr-rd1005060903.xml,"doma, družina",Gos249,Bf-otro-02269,podravska,-,ženski,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
