who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Artur-N-G5026,234,Iriss-N-G5026-P600021.xml,prosti dialog med dvema sogovornikoma,N-G5026-P600021,Artur-N-G5026,pomurska,pomurska,ženski,nad 60 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-N-G6047,715,Iriss-N-G6047-P604702.xml,razlaganje in opisovanje,N-G6047-P604702,Artur-N-G6047,gorenjska,-,moški,18 do 34 let,razlaganje in opisovanje,osebni stik,Artur-N,zasebni
Artur-J-G4528,630,Iriss-J-Gvecg-P580002.xml,intervju,J-Gvecg-P580002,Artur-J-G4528,-,-,ženski,nad 60 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-J-G4529,200,Iriss-J-Gvecg-P580002.xml,intervju,J-Gvecg-P580002,Artur-J-G4529,savinjska,savinjska,ženski,30 do 59 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-N-G5097,743,Iriss-N-G5097-P600096.xml,prosti monološki govor,N-G5097-P600096,Artur-N-G5097,gorenjska,gorenjska,ženski,30 do 59 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-J-G3082,815,Iriss-J-Gvecg-P500042.xml,spletni dogodek,J-Gvecg-P500042,Artur-J-G3082,-,-,ženski,30 do 59 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G3047,820,Iriss-J-Gvecg-P500021.xml,spletni dogodek,J-Gvecg-P500021,Artur-J-G3047,-,-,ženski,-,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-N-G5044,381,Iriss-N-G5044-P600044.xml,prosti dialog med dvema sogovornikoma,N-G5044-P600044,Artur-N-G5044,koroška,-,moški,nad 60 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-P-G7165,722,Iriss-P-G7165-P700926.xml,seja državnega zbora,P-G7165-P700926,Artur-P-G7165,-,-,moški,-,seja državnega zbora,osebni stik,Artur-P,informativno-izobraževalni
Artur-N-G5014,458,Iriss-N-G5014-P600007.xml,prosti dialog med dvema sogovornikoma,N-G5014-P600007,Artur-N-G5014,podravska,-,moški,18 do 34 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-N-G5025,494,Iriss-N-G5025-P600022.xml,prosti monološki govor,N-G5025-P600022,Artur-N-G5025,pomurska,-,ženski,nad 60 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-P-G7002,653,Iriss-P-G7002-P700444.xml,seja državnega zbora,P-G7002-P700444,Artur-P-G7002,-,-,moški,-,seja državnega zbora,osebni stik,Artur-P,informativno-izobraževalni
Artur-J-G3055,85,Iriss-J-Gvecg-P500026.xml,okrogla miza,J-Gvecg-P500026,Artur-J-G3055,-,-,ženski,-,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
